Area,Country code,Year,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change,country_code,2030_capacity_target
Argentina,ARG,2001,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Bioenergy,GW,0.12,0,0,ARG,32.47
Argentina,ARG,2001,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Coal,GW,0.38,0,0,ARG,32.47
Argentina,ARG,2001,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Gas,GW,10.23,1.79,21.21,ARG,32.47
Argentina,ARG,2001,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Hydro,GW,8.64,0.03,0.35,ARG,32.47
Argentina,ARG,2001,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Nuclear,GW,1,0,0,ARG,32.47
Argentina,ARG,2001,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Other Fossil,GW,0.5,-0.29,-36.71,ARG,32.47
Argentina,ARG,2001,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Solar,GW,0,0,0,ARG,32.47
Argentina,ARG,2001,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Wind,GW,0,-0.01,-100,ARG,32.47
Argentina,ARG,2002,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Bioenergy,GW,0.13,0.01,8.33,ARG,32.47
Argentina,ARG,2002,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Coal,GW,0.38,0,0,ARG,32.47
Argentina,ARG,2002,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Gas,GW,10.74,0.51,4.99,ARG,32.47
Argentina,ARG,2002,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Hydro,GW,8.79,0.15,1.74,ARG,32.47
Argentina,ARG,2002,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Nuclear,GW,1,0,0,ARG,32.47
Argentina,ARG,2002,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Other Fossil,GW,0.32,-0.18,-36,ARG,32.47
Argentina,ARG,2002,Country,South America,Latin America and Caribbean,0,0,1,0,0,Capacity,Fuel,Solar,GW,0,0,0,ARG,32.47
